,Smiles,ID
138,*C(C*)c1ccc(cc1)S(=O)(=O)OCCC,P020119.mol
139,*C(C*)c1ccc(cc1)[Si](C)(C)C,P020120.mol
140,*C(C*)c1c(cccc1Cl)Cl,P020121.mol
141,*C(C*)c1c(cc(cc1)C)C,P020122.mol
142,*C(C*)c1c(cc(cc1)Cl)C,P020125.mol
143,*C(C*)c1c(cc(cc1)Cl)Cl,P020126.mol
144,*C(C*)c1c(ccc(c1)C)C,P020130.mol
145,*C(C*)c1c(ccc(c1)C(C)(C)C)C,P020131.mol
146,*C(C*)c1c(ccc(c1)Cl)Cl,P020133.mol
147,*C(C*)c1c(ccc(c1)Br)OCCCC,P020136.mol
148,*C(C*)c1c(ccc(c1)Br)OCC,P020137.mol
149,*C(C*)c1c(ccc(c1)Br)OC,P020138.mol
150,*C(C*)c1c(ccc(c1)Br)OCCC,P020139.mol
151,*C(C*)c1c(ccc(c1)Br)OC(C)C,P020140.mol
152,*C(C*)c1c(ccc(c1)Br)OCCCCC,P020141.mol
153,*C(C*)c1c(ccc(c1)Br)OCCC(C)C,P020142.mol
154,*C(C*)c1cc(cc(c1)C)C,P020143.mol
155,*C(C*)c1cc(c(cc1)C)C,P020144.mol
156,*C(C*)c1cc(c(cc1)Cl)C,P020145.mol
157,*C(C*)c1cc(c(cc1)Cl)Cl,P020146.mol
158,*C(C*)c1cc(c(cc1)Cl)F,P020147.mol
159,*C(C*)c1c(cc(cc1C)C)C,P020148.mol
160,*C(C*)c1c(cc(c(c1)C)C)C,P020149.mol
161,*C(C*)c1c(c(c(c(c1F)F)F)F)F,P020150.mol
162,*C(C*)(c1ccccc1)C,P020151.mol
163,*C(C*)(c1ccc(cc1)C(C)C)C,P020152.mol
164,*C(C(*)(F)F)(c1ccccc1)F,P020153.mol
165,*C(C(*)(F)F)(c1c(c(c(c(c1F)F)F)F)F)F,P020154.mol
166,*C(C*)c1c2c(ccc1)cccc2,P020156.mol
167,*C(C*)c1ccc(cc1)C(=O)C,P020157.mol
168,*C(C*)c1ccc(cc1)C(=O)CCN1CCOCC1,P020158.mol
169,*C(C*)(C(=O)OC)c1ccccc1,P020177.mol
170,*C(C*)(c1ccc(cc1)C)C,P020181.mol
171,*C(C*)c1ccc(cc1)C(=O)C(F)(F)F,P020185.mol
172,*C(C*)c1ccc(cc1)C(=O)c1ccc(cc1)OC,P020186.mol
173,*C(C*)c1ccc(cc1)B(O[Si](C)(C)C)O[Si](C)(C)C,P020187.mol
174,*C(C*)c1cc(ccc1)B(O[Si](C)(C)C)O[Si](C)(C)C,P020188.mol
175,*C(C*)c1cc2c(cc1)cccc2,P020189.mol
176,*C(C*)c1ccncc1,P020190.mol
177,*C(C*)c1nc(ccc1)C,P020191.mol
178,*C(C*)c1ccc(nc1)C,P020192.mol
179,*C(C*)n1nc2c(c1)cccc2,P020193.mol
180,*C(C(C(C*)c1ncccc1)c1ccccc1)c1ncccc1,P020194.mol
181,*C(C*)c1ccc(cc1)O,P020195.mol
182,*C(C*)c1ccc(cc1)OC(=O)C,P020198.mol
183,*C(C*)c1ccc(cc1)CCC,P024305.mol
184,*C(C*)c1ccc(cc1)COCC(CCCC)CC,P024504.mol
185,*C(C*)c1ccc(cc1)COCCOCCCCCCCC,P024505.mol
186,*C(C(*)(c1c(c(c(c(c1[2H])[2H])[2H])[2H])[2H])[2H])([2H])[2H],P029029.mol
187,*C(C*)O,P030001.mol
188,*C(C*)C(=O)C,P030006.mol
189,*C(C*)C#N,P030010.mol
190,*C(C*)(C#N)C,P030011.mol
191,*C(C*)c1ncccc1,P030014.mol
192,*C(C*)n1c2ccccc2c2ccccc12,P030015.mol
193,*C(C*)C[Si](C)(C)C,P030017.mol
194,*C(C*)OC,P030018.mol
195,*C(C*)OCC,P030019.mol
196,*C(C*)OCCCC,P030020.mol
197,*C(C*)OCCCCC,P030021.mol
198,*C(C*)OCCCCCC,P030022.mol
199,*C(C*)OCCCCCCCCCC,P030023.mol
200,*C(C*)OC(=O)C,P030024.mol
201,*C(C*)OC(=O)CC,P030025.mol
202,*C(C*)OC(=O)c1ccccc1,P030026.mol
203,*C(C*)OCC(C)C,P030027.mol
204,*C(C*)O[N+](=O)[O-],P030035.mol
205,*C=CC(C(*)C(=O)OC)C,P030036.mol
206,*C#CC(=C(*)COS(=O)(=O)c1ccc(cc1)C)COS(=O)(=O)c1ccc(cc1)C,P030037.mol
207,*C(C*)CC[Si](C)(C)C,P030038.mol
208,*C(C*)OC=O,P030040.mol
209,*C(C*)OC(C)C,P030045.mol
210,*C(C*)(OC)C,P030046.mol
211,*C(C*)OC(CC)C,P030048.mol
212,*C(C*)OC(=O)C(F)(F)F,P030049.mol
213,*C1(CC(C1)*)C#N,P030062.mol
214,*C(C*)Cc1cc(ccc1)C,P030067.mol
215,*C(C*)Cc1c(cccc1)C,P030068.mol
216,*C(C*)Cc1ccc(cc1)C,P030069.mol
217,*C(C*)OC(=O)c1ccc(cc1)C(C)(C)C,P030071.mol
218,*C=CC(C*)OC,P030077.mol
219,*C(=CCC*)c1ccccc1,P030078.mol
220,*C(*)O,P030079.mol
221,*C(C*)OCC(CCCC)CC,P030080.mol
222,*C(C*)SCCCC,P030081.mol
223,*C(C*)SCC,P030083.mol
224,*C(C(*)(F)F)(OC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)F,P030084.mol
225,*C(C(*)(F)F)(OC(C(F)(F)F)(F)F)F,P030085.mol
226,*C(C(*)(F)F)(OC(F)(F)F)OC(F)(F)F,P030086.mol
227,*C(C(*)(F)F)OC(F)(F)F,P030087.mol
228,*C(C(*)F)(OC(F)(F)F)F,P030088.mol
229,*C(C(*)(F)F)(OC(F)(F)F)F,P030089.mol
230,*C(C*)OCC(CC)(C)C,P030091.mol
231,*C(C*)SC,P030092.mol
232,*C(C*)OCCCCCCCC,P030093.mol
233,*C(C*)(C(=O)C)F,P030095.mol
234,*C(C*)C(=O)c1ccccc1,P030096.mol
235,*C(C*)C(=O)c1cc(c(cc1)Br)OC,P030097.mol
236,*C(C*)C(=O)c1ccc(cc1)C(C)(C)C,P030098.mol
237,*C(C*)C(=O)c1ccc(cc1)Cl,P030099.mol
238,*C(C*)C(=O)c1ccc(cc1)CC,P030100.mol
239,*C(C*)C(=O)c1ccc(cc1)C(C)C,P030101.mol
240,*C(C*)C(=O)c1ccc(cc1)OC,P030102.mol
241,*C(C*)C(=O)c1cc(c(cc1)C)C,P030103.mol
242,*C(C*)C(=O)c1ccc(cc1)CCC,P030104.mol
243,*C(C*)C(=O)c1ccc(cc1)C,P030105.mol
244,*C(C*)OC(=O)c1c(cccc1)OC(=O)C,P030107.mol
245,*C(C*)OC(=O)c1ccc(cc1)OC(=O)C,P030108.mol
246,*C(C*)OC(=O)CCCC(=O)c1ccccc1,P030109.mol
247,*C(C*)OC(=O)c1cc(ccc1)Br,P030110.mol
248,*C(C*)OC(=O)c1ccc(cc1)Br,P030111.mol
249,*C(C*)OC(=O)c1ccc(cc1)OC(=O)CCC,P030112.mol
250,*C(C*)OC(=O)c1c(cccc1)Cl,P030113.mol
251,*C(C*)OC(=O)c1cc(ccc1)Cl,P030114.mol
252,*C(C*)OC(=O)c1ccc(cc1)Cl,P030115.mol
253,*C(C*)OC(=O)C1CCCCC1,P030116.mol
254,*C(C*)OC(=O)CC1CCCCC1,P030117.mol
255,*C(C*)OC(=O)CCCC1CCCCC1,P030118.mol
256,*C(C*)OC(=O)c1ccc(cc1)OCC,P030120.mol
257,*C(C*)OC(=O)c1ccc(cc1)CC,P030121.mol
258,*C(C*)OC(=O)C(C(C)(C)C)(CC)C,P030122.mol
259,*C(C*)OC(=O)C(C(C(F)(F)F)(F)F)(F)F,P030123.mol
260,*C(C*)OC(=O)C1(C(C(C(C(C1(F)F)(F)F)(F)F)(F)F)(F)F)F,P030124.mol
261,*C(C*)NC(=O)OC(C)(C)C,P030125.mol
262,*C(C*)OC(=O)C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,P030126.mol
263,*C(C*)OC(=O)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,P030127.mol
264,*C(C*)OC(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,P030128.mol
265,*C(C*)OC(=O)C(C(F)(F)F)(F)F,P030129.mol
266,*C(C*)OC(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,P030130.mol
267,*C(C*)OC(=O)c1ccncc1,P030131.mol
268,*C(C*)OC(=O)c1ccc(cc1)C(C)C,P030132.mol
269,*C(C*)OC(=O)C(C(C)C)(C(C)C)C,P030133.mol
270,*C(C*)OC(=O)c1c(cccc1)OC,P030134.mol
271,*C(C*)OC(=O)c1cc(ccc1)OC,P030135.mol
272,*C(C*)OC(=O)c1ccc(cc1)OC,P030136.mol
273,*C(C*)OC(=O)c1c(cccc1)C,P030137.mol
274,*C(C*)OC(=O)c1cc(ccc1)C,P030138.mol
275,*C(C*)OC(=O)c1ccc(cc1)C,P030139.mol
276,*C(C*)OC(=O)CC(c1ccccc1)(C)C,P030140.mol
277,*C(C*)OC(=O)c1cc(ccc1)[Si](C)(C)C,P030141.mol
278,*C(C*)OC(=O)c1ccc(cc1)[Si](C)(C)C,P030142.mol
279,*C(C*)OC(=O)C(CCC)(C)C,P030143.mol
280,*C(C*)OC(=O)C(C(CC)(C)C)(C)C,P030144.mol
281,*C(C*)OC(=O)C(C(C(C)C)C)(C)C,P030145.mol
282,*C(C*)OC(=O)C(CC(C)(C)C)(C)C,P030146.mol
283,*C(C*)OC(=O)c1cnccc1,P030147.mol
284,*C(C*)OC(=O)c1cc(ccc1)[N+](=O)[O-],P030148.mol
285,*C(C*)OC(=O)c1ccc(cc1)[N+](=O)[O-],P030149.mol
286,*C(C*)OC(=O)c1ccc(cc1)c1ccccc1,P030150.mol
287,*C(C*)OC(=O)C(C)(C)C,P030151.mol
288,*C(C*)OC(=O)c1ccc(cc1)OC(=O)CC,P030152.mol
289,*C(C*)OC(=O)CCCC(=O)c1ccc(cc1)C,P030153.mol
290,*C(C*)C1=NC(C(=O)O1)(C)C,P030157.mol
291,*C(C*)(C1=NC(C(=O)O1)(C)C)C,P030158.mol
292,*C(C*)OC(=O)CCC,P030161.mol
293,*C(C*)OC(C(F)(F)F)(C(F)(F)F)F,P030163.mol
294,*C(C*)OC(=O)CCl,P030166.mol
295,*C(C*)c1sccc1,P030168.mol
296,*C(C*)(CC(=O)OCCCCCCC)C(=O)OCCCCCCC,P030177.mol
297,*C(C*)OC(=O)C1CCCC1,P030178.mol
298,*C(C*)OC(=O)C1(CCCCC1)C,P030179.mol
299,*C(C*)P(=O)(c1ccccc1)c1ccccc1,P030180.mol
300,*C(C*)P(=O)(OCC)N(C)C,P030181.mol
301,*C(C*)P(=O)(N(C)C)Oc1ccccc1,P030182.mol
302,*C(C*)c1nc(nc(n1)C)C,P030183.mol
303,*C1c2c(CC1*)cccc2,P030187.mol
304,*C(=C(*)C)c1ccccc1,P030188.mol
305,*C1C(=O)OC(=O)C1C(C*)OC,P030191.mol
