Name,PID,Smiles,Details,Condition,Reference,Year,He,H2,O2,N2,CO2,CH4,log10_He,log10_H2,log10_O2,log10_N2,log10_CO2,log10_CH4
Polyetherimide,PEI 8a,C1=C(C=CC2=C1C(=O)N(C2=O)*)OC3=CC=C(C=C3)C(C4=CC=C(C=C4)OC5=CC6=C(C=C5)C(N(C6=O)C7=CC=C(C=C7)C8=CC(=C(C=C8)OC9=CC%10=C(C=C9)C(CC%10%11CC(C%12=C%11C=C(C=C%12)OC%13=CC=C(C=C%13C(F)(F)F)C%14=CC=C(C=C%14)*)(C)C)(C)C)C(F)(F)F)=O)(C)C,Polyimides and Polypyrrolones,,http://www.sciencedirect.com/science/article/pii/S0376738810007350,2010,,,9.92,1.02,23.87,0.35,,,0.996511672,0.008600172,1.377852419,-0.455931956
Polyetherimide,PEI 8b,C1=C(C=CC2=C1C(=O)N(C2=O)*)C(C3=CC4=C(C=C3)C(=O)N(C4=O)C5=CC=C(C=C5)C6=CC(=C(C=C6)OC7=CC8=C(C=C7)C(CC89CC(C%10=C9C=C(C=C%10)OC%11=CC=C(C=C%11C(F)(F)F)C%12=CC=C(C=C%12)*)(C)C)(C)C)C(F)(F)F)(C(F)(F)F)C(F)(F)F,Polyimides and Polypyrrolones,,http://www.sciencedirect.com/science/article/pii/S0376738810007350,2010,,,36.08,3.35,52.98,1.21,,,1.557266529,0.525044807,1.724111954,0.08278537
Polyetherimide,PEI 8d,C1=C(C=CC2=C1C(=O)N(C2=O)*)OC3=CC4=C(C=C3)C(=O)N(C4=O)C5=CC=C(C=C5)C6=CC(=C(C=C6)OC7=CC8=C(C=C7)C(CC89CC(C%10=C9C=C(C=C%10)OC%11=CC=C(C=C%11C(F)(F)F)C%12=CC=C(C=C%12)*)(C)C)(C)C)C(F)(F)F,Polyimides and Polypyrrolones,,http://www.sciencedirect.com/science/article/pii/S0376738810007350,2010,,,13.07,1.12,22.64,0.41,,,1.116275588,0.049218023,1.354876423,-0.387216143
Polymer with Intrinsic Microporosity (spirobisindane-based ladder polymer),PIM-1,C1C(C6=C(C12CC(C3=CC5=C(C=C23)OC4=C(C(=C(C(=C4C#N)*)*)C#N)O5)(C)C)C=C(C(=C6)O*)O*)(C)C,Polymers with High Free Volume,,http://www.sciencedirect.com/science/article/pii/S0376738809001070,2009,1500,3600,1300,340,6500,430,3.176091259,3.556302501,3.113943352,2.531478917,3.812913357,2.633468456
Polymer with Intrinsic Microporosity (spirobisindane-based ladder polymer),PIM-1,C1C(C6=C(C12CC(C3=CC5=C(C=C23)OC4=C(C(=C(C(=C4C#N)*)*)C#N)O5)(C)C)C=C(C(=C6)O*)O*)(C)C,Polymers with High Free Volume,,http://dx.doi.org/10.1021/cm071722t,2008,1060,2332,786,238,3496,360,3.025305865,3.367728546,2.895422546,2.376576957,3.543571424,2.556302501
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Polymer with Intrinsic Microporosity (spirobisindane-based ladder polymer) at 4bar,PIM-1,C1C(C6=C(C12CC(C3=CC5=C(C=C23)OC4=C(C(=C(C(=C4C#N)*)*)C#N)O5)(C)C)C=C(C(=C6)O*)O*)(C)C,Polymers with High Free Volume,,http://dx.doi.org/10.1016/j.memsci.2013.01.009,2013,1340,2936,969,252,5303,320,3.127104798,3.467756051,2.986323777,2.401400541,3.724521627,2.505149978
Polymer with Intrinsic Microporosity (spirobisindane-based ladder polymer) at 4 bar,PIM-1,C1C(C6=C(C12CC(C3=CC5=C(C=C23)OC4=C(C(=C(C(=C4C#N)*)*)C#N)O5)(C)C)C=C(C(=C6)O*)O*)(C)C,Polymers with High Free Volume,,http://dx.doi.org/10.1016/j.memsci.2013.01.009,2013,1340,2936,969,252,5303,320,3.127104798,3.467756051,2.986323777,2.401400541,3.724521627,2.505149978
Polymer with Intrinsic Microporosity (Polyimide Ethanoanthracene/Dimethylnaphthidine) at 1 bar,PIM-PI-EA (MeOH treated),C1=C%10C(=CC2=C1C3(C4=C(C2(C)CC3)C=C5C(=C4)C(N(C5=O)C6=C(C=C(C7=C6C=CC=C7)C8=C9C(=C(C(=C8)C)*)C=CC=C9)C)=O)C)C(N(C%10=O)*)=O,Polymers with High Free Volume,,http://dx.doi.org/10.1039/C4TA00564C,2014,1580,4230,1380,369,7340,457,3.198657087,3.626340367,3.139879086,2.567026366,3.86569606,2.6599162
Polymer with Intrinsic Microporosity (Polyimide Ethanoanthracene/Dimethylnaphthidine) at 1bar,PIM-PI-EA (aged 273 days),C1=C%10C(=CC2=C1C3(C4=C(C2(C)CC3)C=C5C(=C4)C(N(C5=O)C6=C(C=C(C7=C6C=CC=C7)C8=C9C(=C(C(=C8)C)*)C=CC=C9)C)=O)C)C(N(C%10=O)*)=O,Polymers with High Free Volume,,http://dx.doi.org/10.1039/C4TA00564C,2014,1130,2860,659,131,3230,156,3.053078443,3.456366033,2.818885415,2.117271296,3.509202522,2.193124598
Polymer with Intrinsic Microporosity (Spirobifluorene--based ladder polymer) at 1 bar,PIM-SBF (180 ??m),C1=CC=CC2=C1C8=C(C24C3=CC=CC=C3C5=CC7=C(C=C45)OC6=C(C(=C(C(=C6C#N)O*)O*)C#N)O7)C=C(C(=C8)*)*,Polymers with High Free Volume,,http://dx.doi.org/10.1002/adma.201202393,2012,2200,6320,2640,786,13900,1100,3.342422681,3.800717078,3.421603927,2.895422546,4.1430148,3.041392685
Polymer with Intrinsic Microporosity (Spirobifluorene--based ladder polymer) at 1 bar,PIM-SBF (81 ??m),C1=CC=CC2=C1C8=C(C24C3=CC=CC=C3C5=CC7=C(C=C45)OC6=C(C(=C(C(=C6C#N)O*)O*)C#N)O7)C=C(C(=C8)*)*,Polymers with High Free Volume,,http://dx.doi.org/10.1002/adma.201202393,2012,1840,5240,1950,554,10400,754,3.264817823,3.719331287,3.290034611,2.743509765,4.017033339,2.877371346
Polymer with Intrinsic Microporosity (dimethylethanoanthracene TB) at 1 bar,PIM-EA-TB (181 ??m),C1=C(C(=CC3=C1C4(C2=CC5=C(C=C2C3(CC4)C)CN(*)CN5C*)C)*)*,Polymers with High Free Volume,,http://dx.doi.org/10.1126/science.1228032,2013,2570,7760,2150,525,7140,699,3.409933123,3.889861721,3.33243846,2.720159303,3.853698212,2.844477176
Polymer with Intrinsic Microporosity (dimethylethanoanthracene TB) at 1 bar,PIM-EA-TB (95 ??m),C1=C(C(=CC3=C1C4(C2=CC5=C(C=C2C3(CC4)C)CN(*)CN5C*)C)*)*,Polymers with High Free Volume,,http://dx.doi.org/10.1126/science.1228033,2013,2720,7310,1630,380,5100,572,3.434568904,3.863917377,3.212187604,2.579783597,3.707570176,2.757396029
Polymer with Intrinsic Microporosity (dimethylethanoanthracene TB) at 1 bar,PIM-EA-TB (181 ??m aged 24h),C1=C(C(=CC3=C1C4(C2=CC5=C(C=C2C3(CC4)C)CN(*)CN5C*)C)*)*,Polymers with High Free Volume,,http://dx.doi.org/10.1126/science.1228034,2013,2070,6155,1590,370,4780,502,3.315970345,3.789228057,3.201397124,2.568201724,3.679427897,2.700703717
Polymer with Intrinsic Microporosity (Spirobisindane TB) at 1 bar,PIM-SBI-TB (157 ??m),C1=C(C(=CC2=C1C(CC24C3=CC5=C(C=C3C(C4)(C)C)CN(*)CN5C*)(C)C)*)*,Polymers with High Free Volume,,http://dx.doi.org/10.1126/science.1228035,2013,878,2200,720,232,2900,450,2.943494516,3.342422681,2.857332496,2.365487985,3.462397998,2.653212514
Polymer with Intrinsic Microporosity (Spirobisindane TB) at 1 bar,PIM-SBI-TB (128 ??m),C1=C(C(=CC2=C1C(CC24C3=CC5=C(C=C3C(C4)(C)C)CN(*)CN5C*)(C)C)*)*,Polymers with High Free Volume,,http://dx.doi.org/10.1126/science.1228036,2013,858,2110,657,215,2720,406,2.933487288,3.324282455,2.81756537,2.33243846,3.434568904,2.608526034
Polymer with Intrinsic Microporosity (Hexaphenylbenzene based) at 1 bar,PIM-HPB as cast,C1(=C(C(=C(C(=C1C2=CC4=C(C=C2)OC3=C(C(=C(C(=C3O4)C#N)*)*)C#N)C5=CC=CC=C5)C6=CC=CC=C6)C7=CC(=C(C=C7)O*)O*)C8=CC=CC=C8)C9=CC=CC=C9,Polymers with High Free Volume,,http://dx.doi.org/10.1021/ma501925j,2014,320,671,221,68,1640,124,2.505149978,2.82672252,2.344392274,1.832508913,3.214843848,2.093421685
Polymer with Intrinsic Microporosity (Hexaphenylbenzene based) at 1 bar,PIM-HPB after MeOH,C1(=C(C(=C(C(=C1C2=CC4=C(C=C2)OC3=C(C(=C(C(=C3O4)C#N)*)*)C#N)C5=CC=CC=C5)C6=CC=CC=C6)C7=CC(=C(C=C7)O*)O*)C8=CC=CC=C8)C9=CC=CC=C9,Polymers with High Free Volume,,http://dx.doi.org/10.1021/ma501925j,2014,592,1413,534,190,3800,361,2.772321707,3.150142162,2.727541257,2.278753601,3.579783597,2.557507202
Polymer with Intrinsic Microporosity (Hexaphenylbenzene based) at 1 bar,PIM-HPB aged 145 days,C1(=C(C(=C(C(=C1C2=CC4=C(C=C2)OC3=C(C(=C(C(=C3O4)C#N)*)*)C#N)C5=CC=CC=C5)C6=CC=CC=C6)C7=CC(=C(C=C7)O*)O*)C8=CC=CC=C8)C9=CC=CC=C9,Polymers with High Free Volume,,http://dx.doi.org/10.1021/ma501925j,2014,437,1000,340,107,2390,192,2.640481437,3,2.531478917,2.029383778,3.378397901,2.283301229
Polymer with Intrinsic Microporosity (Hexaphenylbenzene based) at 1 bar,PIM-CH3-HPB as cast,C1(=C(C(=C(C(=C1C2=CC4=C(C=C2)OC3=C(C(=C(C(=C3O4)C#N)*)*)C#N)C5=CC=C(C=C5)C)C6=CC=C(C=C6)C)C7=CC(=C(C=C7)O*)O*)C8=CC=C(C=C8)C)C9=CC=C(C=C9)C,Polymers with High Free Volume,,http://dx.doi.org/10.1021/ma501925j,2014,249,501,154,46,990,82,2.396199347,2.699837726,2.187520721,1.662757832,2.995635195,1.913813852
Polymer with Intrinsic Microporosity (Hexaphenylbenzene based) at 1 bar,PIM-CH3-HPB after MeOH,C1(=C(C(=C(C(=C1C2=CC4=C(C=C2)OC3=C(C(=C(C(=C3O4)C#N)*)*)C#N)C5=CC=C(C=C5)C)C6=CC=C(C=C6)C)C7=CC(=C(C=C7)O*)O*)C8=CC=C(C=C8)C)C9=CC=C(C=C9)C,Polymers with High Free Volume,,http://dx.doi.org/10.1021/ma501925j,2014,578,1220,408,122,2620,230,2.761927838,3.086359831,2.610660163,2.086359831,3.418301291,2.361727836
Polymer with Intrinsic Microporosity (Hexaphenylbenzene based) at 1 bar,PIM-CH3-HPB aged 147 days,C1(=C(C(=C(C(=C1C2=CC4=C(C=C2)OC3=C(C(=C(C(=C3O4)C#N)*)*)C#N)C5=CC=C(C=C5)C)C6=CC=C(C=C6)C)C7=CC(=C(C=C7)O*)O*)C8=CC=C(C=C8)C)C9=CC=C(C=C9)C,Polymers with High Free Volume,,http://dx.doi.org/10.1021/ma501925j,2014,413,856,256,60,1630,132,2.615950052,2.932473765,2.408239965,1.77815125,3.212187604,2.120573931
Polymer with Intrinsic Microporosity (Hexaphenylbenzene based) at 1 bar,PIM-Br-HPB as cast,C1(=C(C(=C(C(=C1C2=CC4=C(C=C2)OC3=C(C(=C(C(=C3O4)C#N)*)*)C#N)C5=CC=C(C=C5)Br)C6=CC=C(C=C6)Br)C7=CC(=C(C=C7)O*)O*)C8=CC=C(C=C8)Br)C9=CC=C(C=C9)Br,Polymers with High Free Volume,,http://dx.doi.org/10.1021/ma501925j,2014,91.4,154,30.4,6.3,189,10.1,1.960946196,2.187520721,1.482873584,0.799340549,2.276461804,1.004321374
Polymer with Intrinsic Microporosity (Hexaphenylbenzene based) at 1 bar,PIM-Br-HPB after MeOH,C1(=C(C(=C(C(=C1C2=CC4=C(C=C2)OC3=C(C(=C(C(=C3O4)C#N)*)*)C#N)C5=CC=C(C=C5)Br)C6=CC=C(C=C6)Br)C7=CC(=C(C=C7)O*)O*)C8=CC=C(C=C8)Br)C9=CC=C(C=C9)Br,Polymers with High Free Volume,,http://dx.doi.org/10.1021/ma501925j,2014,392,930,301,92,2130,177,2.593286067,2.968482949,2.478566496,1.963787827,3.328379603,2.247973266
Polymer with Intrinsic Microporosity (Hexaphenylbenzene based) at 1 bar,PIM-Br-HPB aged 146 days,C1(=C(C(=C(C(=C1C2=CC4=C(C=C2)OC3=C(C(=C(C(=C3O4)C#N)*)*)C#N)C5=CC=C(C=C5)Br)C6=CC=C(C=C6)Br)C7=CC(=C(C=C7)O*)O*)C8=CC=C(C=C8)Br)C9=CC=C(C=C9)Br,Polymers with High Free Volume,,http://dx.doi.org/10.1021/ma501925j,2014,312,694,203,54,1430,102,2.494154594,2.84135947,2.307496038,1.73239376,3.155336037,2.008600172
Polymer with Intrinsic Microporosity (Hexaphenylbenzene based) at 1 bar,PIM-CN-HPB as cast,C1(=C(C(=C(C(=C1C2=CC4=C(C=C2)OC3=C(C(=C(C(=C3O4)C#N)*)*)C#N)C5=CC=C(C=C5)C#N)C6=CC=C(C=C6)C#N)C7=CC(=C(C=C7)O*)O*)C8=CC=C(C=C8)C#N)C9=CC=C(C=C9)C#N,Polymers with High Free Volume,,http://dx.doi.org/10.1021/ma501925j,2014,113,181,37.3,7.8,228,12.8,2.053078443,2.257678575,1.571708832,0.892094603,2.357934847,1.10720997
Polymer with Intrinsic Microporosity (Hexaphenylbenzene based) at 1 bar,PIM-CN-HPB after MeOH,C1(=C(C(=C(C(=C1C2=CC4=C(C=C2)OC3=C(C(=C(C(=C3O4)C#N)*)*)C#N)C5=CC=C(C=C5)C#N)C6=CC=C(C=C6)C#N)C7=CC(=C(C=C7)O*)O*)C8=CC=C(C=C8)C#N)C9=CC=C(C=C9)C#N,Polymers with High Free Volume,,http://dx.doi.org/10.1021/ma501925j,2014,541,1200,386,123,2390,212,2.733197265,3.079181246,2.586587305,2.089905111,3.378397901,2.326335861
Polymer with Intrinsic Microporosity (Hexaphenylbenzene based) at 1 bar,PIM-CN-HPB aged 147 days,C1(=C(C(=C(C(=C1C2=CC4=C(C=C2)OC3=C(C(=C(C(=C3O4)C#N)*)*)C#N)C5=CC=C(C=C5)C#N)C6=CC=C(C=C6)C#N)C7=CC(=C(C=C7)O*)O*)C8=CC=C(C=C8)C#N)C9=CC=C(C=C9)C#N,Polymers with High Free Volume,,http://dx.doi.org/10.1021/ma501925j,2014,361,734,205,52,1300,93,2.557507202,2.86569606,2.311753861,1.716003344,3.113943352,1.968482949
