Name,PID,Smiles,Details,Condition,Reference,Year,He,H2,O2,N2,CO2,CH4,log10_He,log10_H2,log10_O2,log10_N2,log10_CO2,log10_CH4
methanol treated,PIM-SBF-3,C1=C(C(=CC2=C1C8=C(C24C3=CC=CC=C3C5=CC7=C(C=C45)OC6=C(C(=C(C(=C6C#N)O*)O*)C#N)O7)C=C(C(=C8)*)*)C)C,Polymers with High Free Volume,,10.1039/C8TA02601G,2018,1971,5460,1820,463,10900,878,3.294686624,3.737192643,3.260071388,2.665580991,4.037426498,2.943494516
aged 1294 days,PIM-SBF-3,C1=C(C(=CC2=C1C8=C(C24C3=CC=CC=C3C5=CC7=C(C=C45)OC6=C(C(=C(C(=C6C#N)O*)O*)C#N)O7)C=C(C(=C8)*)*)C)C,Polymers with High Free Volume,,10.1039/C8TA02601G,2018,1270,3370,965,219,4850,248,3.103803721,3.527629901,2.984527313,2.340444115,3.685741739,2.394451681
methanol treated,PIM-SBF-4,C1=CC(=CC2=C1C8=C(C24C3=CC(=CC=C3C5=CC7=C(C=C45)OC6=C(C(=C(C(=C6C#N)O*)O*)C#N)O7)C)C=C(C(=C8)*)*)C,Polymers with High Free Volume,,10.1039/C8TA02601G,2018,1930,4900,1760,474,10600,834,3.285557309,3.69019608,3.245512668,2.675778342,4.025305865,2.921166051
aged 1428 days,PIM-SBF-4,C1=CC(=CC2=C1C8=C(C24C3=CC(=CC=C3C5=CC7=C(C=C45)OC6=C(C(=C(C(=C6C#N)O*)O*)C#N)O7)C)C=C(C(=C8)*)*)C,Polymers with High Free Volume,,10.1039/C8TA02601G,2018,1470,3960,1260,286,6410,331,3.167317335,3.597695186,3.100370545,2.456366033,3.80685803,2.519827994
methanol treated,PIM-SBF-5,C1=CC(=CC2=C1C8=C(C24C3=CC(=CC=C3C5=CC7=C(C=C45)OC6=C(C(=C(C(=C6C#N)O*)O*)C#N)O7)C(C)(C)C)C=C(C(=C8)*)*)C(C)(C)C,Polymers with High Free Volume,,10.1039/C8TA02601G,2018,2060,5590,2750,1080,16400,2480,3.31386722,3.747411808,3.439332694,3.033423755,4.214843848,3.394451681
aged 1439 days,PIM-SBF-5,C1=CC(=CC2=C1C8=C(C24C3=CC(=CC=C3C5=CC7=C(C=C45)OC6=C(C(=C(C(=C6C#N)O*)O*)C#N)O7)C(C)(C)C)C=C(C(=C8)*)*)C(C)(C)C,Polymers with High Free Volume,,10.1039/C8TA02601G,2018,1830,4710,1870,550,10000,925,3.26245109,3.673020907,3.271841607,2.740362689,4,2.966141733
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Poly(3-tricyclonone),Poly(3-TCNS),C1(C2C3C(C(C1*)C2)CC3[Si](C)(C)C)*,Polynorbornenes,,http://dx.doi.org/10.1021/ma100656e,2010,930,2060,990,390,5300,1010,2.968482949,3.31386722,2.995635195,2.591064607,3.72427587,3.004321374
Poly(trimethylsiloxy)silyl)-tricyclonone,PTCNSi6,C(C1C2C(C(C=*)C1)C(C2[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C)[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C)=*,Polynorbornenes,,http://dx.doi.org/10.1021/ma4021278,2013,420,690,295,100,1160,300,2.62324929,2.838849091,2.469822016,2,3.064457989,2.477121255
Poly(trimethylsiloxy)silyl)-tricyclonone hydrogenated,PTCNSi6-H,C(C1C2C(C(C*)C1)C(C2[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C)[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C)*,Polynorbornenes,,http://dx.doi.org/10.1021/ma4021278,2013,300,460,220,75,840,215,2.477121255,2.662757832,2.342422681,1.875061263,2.924279286,2.33243846
Addition-polymerized polynorbornenes containing Si(CH3)3,APNSi,C1(C2C(CC(C1*)C2)[Si](C)(C)C)*,Polynorbornenes,,http://dx.doi.org/10.1021/ma061215h,2006,,,,,,790,,,,,,2.897627091
Poly(trimethylsilyl norborene),PTMSN,C1(C2C(CC(C1*)C2)[Si](C)(C)C)*,Polynorbornenes,,http://dx.doi.org/10.1016/j.memsci.2008.06.009,2008,5100,6700,1700,2500,250,1390,3.707570176,3.826074803,3.230448921,3.397940009,2.397940009,3.1430148
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Poly(dimethylsiloxane),PDMS,O([Si](C)(C)*)*,Silicone rubber and variants,,http://dx.doi.org/10.1016/j.memsci.2007.04.022,2007,,,,320,,,,,,2.505149978,,
Polyacetylene 2c,,C(\C1=CC=C(C=C1)C(C)(C)C)(*)=C(C2=CC=C(C=C2)O[Si](C)(C)C(C)(C)C)/*,Substituted Polyacetylenes,,http://www.sciencedirect.com/science/article/pii/S0376738806003851,2006,530,1000,470,210,2300,540,2.72427587,3,2.672097858,2.322219295,3.361727836,2.73239376
Polyacetylene 2d,,C(\C1=CC=C(C=C1)C(C)(C)C)(*)=C(C2=CC=CC(=C2)O[Si](C)(C)C(C)(C)C)/*,Substituted Polyacetylenes,,http://www.sciencedirect.com/science/article/pii/S0376738806003851,2006,1600,3900,2100,1300,7200,3300,3.204119983,3.591064607,3.322219295,3.113943352,3.857332496,3.51851394
Polyacetylene 2e,,C(\C1=CC=C(C=C1)[Si](C)(C)C)(*)=C(C2=CC=C(C=C2)O[Si](C)(C)C(C)(C)C)/*,Substituted Polyacetylenes,,http://www.sciencedirect.com/science/article/pii/S0376738806003851,2006,790,1500,830,390,3800,1100,2.897627091,3.176091259,2.919078092,2.591064607,3.579783597,3.041392685
Polyacetylene 2f,,C(\C1=CC=C(C=C1)[Si](C)(C)C)(*)=C(C2=CC=CC(=C2)O[Si](C)(C)C(C)(C)C)/*,Substituted Polyacetylenes,,http://www.sciencedirect.com/science/article/pii/S0376738806003851,2006,840,1600,810,430,2900,1100,2.924279286,3.204119983,2.908485019,2.633468456,3.462397998,3.041392685
Polyacetylene 3c,,C(\C1=CC=C(C=C1)C(C)(C)C)(*)=C(C2=CC=C(C=C2)O)/*,Substituted Polyacetylenes,,http://www.sciencedirect.com/science/article/pii/S0376738806003851,2006,190,340,82,23,530,46,2.278753601,2.531478917,1.913813852,1.361727836,2.72427587,1.662757832
Polyacetylene 3d,,C(\C1=CC=C(C=C1)C(C)(C)C)(*)=C(C2=CC=CC(=C2)O)/*,Substituted Polyacetylenes,,http://www.sciencedirect.com/science/article/pii/S0376738806003851,2006,810,1700,580,210,3000,490,2.908485019,3.230448921,2.763427994,2.322219295,3.477121255,2.69019608
Fluorenyl-poly(diarylacetylene) 2a,,C(=C(\C1=CC=C2C(=C1)C(C3=C2C=CC=C3)(C)C)*)(C4=CC=CC=C4)/*,Substituted Polyacetylenes,,http://www.sciencedirect.com/science/article/pii/S0032386109005552,2009,3200,8100,4800,3300,17000,9100,3.505149978,3.908485019,3.681241237,3.51851394,4.230448921,3.959041392
Fluorenyl-poly(diarylacetylene) 2b,,C(/*)(C1=CC=C(C=C1)F)=C(\C2=CC=C3C(=C2)C(C4=C3C=CC=C4)(C)C)*,Substituted Polyacetylenes,,http://www.sciencedirect.com/science/article/pii/S0032386109005552,2009,4600,11000,6200,4700,21000,11000,3.662757832,4.041392685,3.792391689,3.672097858,4.322219295,4.041392685
Fluorenyl-poly(diarylacetylene) 2c,,C(/*)(C1=CC=CC(=C1)F)=C(C2=CC=C3C(=C2)C(C4=C3C=CC=C4)(C)C)/*,Substituted Polyacetylenes,,http://www.sciencedirect.com/science/article/pii/S0032386109005552,2009,4100,9900,5900,4200,18000,11000,3.612783857,3.995635195,3.770852012,3.62324929,4.255272505,4.041392685
Fluorenyl-poly(diarylacetylene) 2d,,C(/*)(C1=CC=C(C(=C1)F)F)=C(C2=CC=C3C(=C2)C(C4=C3C=CC=C4)(C)C)/*,Substituted Polyacetylenes,,http://www.sciencedirect.com/science/article/pii/S0032386109005552,2009,5000,11000,6600,5100,26000,12000,3.698970004,4.041392685,3.819543936,3.707570176,4.414973348,4.079181246
Fluorenyl-poly(diarylacetylene) 2e,,C(/*)(C1=CC(=CC(=C1)F)F)=C(C2=CC=C3C(=C2)C(C4=C3C=CC=C4)(C)C)/*,Substituted Polyacetylenes,,http://www.sciencedirect.com/science/article/pii/S0032386109005552,2009,2100,5000,2700,1700,9200,4200,3.322219295,3.698970004,3.431363764,3.230448921,3.963787827,3.62324929
Fluorenyl-poly(diarylacetylene) 2f,,C(/*)(C1=CC=C(C=C1)Br)=C(C2=CC=C3C(=C2)C(C4=C3C=CC=C4)(C)C)/*,Substituted Polyacetylenes,,http://www.sciencedirect.com/science/article/pii/S0032386109005552,2009,3400,8700,5000,3500,17000,9300,3.531478917,3.939519253,3.698970004,3.544068044,4.230448921,3.968482949
Fluorenyl-poly(diarylacetylene) 2g,,C(=C(\C1=CC=C2C(=C1)C(C3=C2C=CC=C3)(C)C)*)(C4=CC=C(C=C4)C(C)(C)C)/*,Substituted Polyacetylenes,,http://www.sciencedirect.com/science/article/pii/S0032386109005552,2009,2700,6300,3500,2500,11000,6600,3.431363764,3.799340549,3.544068044,3.397940009,4.041392685,3.819543936
Fluorenyl-poly(diarylacetylene) 2h,,C(=C(/C1=CC=C2C(=C1)C(C3=C2C=CC=C3)(C)C)*)(/C4=CC=C(C=C4)[Si](C)(C)C)*,Substituted Polyacetylenes,,http://www.sciencedirect.com/science/article/pii/S0032386109005552,2009,520,1100,470,210,1900,550,2.716003344,3.041392685,2.672097858,2.322219295,3.278753601,2.740362689
Fluorenyl-poly(diarylacetylene) 2i,,C(=C(\C1=CC=C2C(=C1)C(C3=C2C=CC(=C3)Br)(C)C)*)(C4=CC=CC=C4)/*,Substituted Polyacetylenes,,http://www.sciencedirect.com/science/article/pii/S0032386109005552,2009,1500,3700,2000,1100,8000,3000,3.176091259,3.568201724,3.301029996,3.041392685,3.903089987,3.477121255
Fluorenyl-poly(diarylacetylene) 2j,,C(/*)(C1=CC=CC=C1)=C(C2=CC=C3C(=C2)C(C4=C3C=CC(=C4)[Si](C)(C)C)(C)C)/*,Substituted Polyacetylenes,,http://www.sciencedirect.com/science/article/pii/S0032386109005552,2009,3400,8500,5400,3400,18000,10000,3.531478917,3.929418926,3.73239376,3.531478917,4.255272505,4
Fluorenyl-poly(diarylacetylene) 2k,,C(/*)(C1=CC=CC=C1)=C(C2=CC=C3C(=C2)C5(C4=C3C=CC=C4)CC5)/*,Substituted Polyacetylenes,,http://www.sciencedirect.com/science/article/pii/S0032386109005552,2009,600,1400,660,400,3200,810,2.77815125,3.146128036,2.819543936,2.602059991,3.505149978,2.908485019
Fluorenyl-poly(diarylacetylene) 2l,,C(/*)(C1=CC=C(C=C1)[Si](C)(C)C)=C(C2=CC=C3C(=C2)C5(C4=C3C=CC=C4)CC5)/*,Substituted Polyacetylenes,,http://www.sciencedirect.com/science/article/pii/S0032386109005552,2009,840,1900,1000,540,4100,1500,2.924279286,3.278753601,3,2.73239376,3.612783857,3.176091259
Poly(diphenyl acetylene) 2a,,C(/*)(C1=CC=C(C=C1)[Si](CCCCCCCC)(C)C)=C(C2=CC=CC=C2)/*,Substituted Polyacetylenes,,http://www.sciencedirect.com/science/article/pii/S0032386110000510,2010,,,34,11,170,,,,1.531478917,1.041392685,2.230448921,
Poly(diphenyl acetylene) 2b,,C(/*)(C1=CC=C(C=C1)[Si](CCCCCCCC)(C)C)=C(C2=CC=C(C=C2)C(C)C)/*,Substituted Polyacetylenes,,http://www.sciencedirect.com/science/article/pii/S0032386110000510,2010,,,29,9.1,120,,,,1.462397998,0.959041392,2.079181246,
Poly(diphenyl acetylene) 2c,,C(/*)(C1=CC=C(C=C1)[Si](CCCCCCCC)(C)C)=C(C2=CC=C(C=C2)C(C)(C)C)/*,Substituted Polyacetylenes,,http://www.sciencedirect.com/science/article/pii/S0032386110000510,2010,,,26,7.5,100,,,,1.414973348,0.875061263,2,
Poly(diphenyl acetylene) 2d,,C(/*)(C1=CC=C(C=C1)[Si](CCCCCCCC)(C)C)=C(C2=CC=C(C=C2)CCCC)/*,Substituted Polyacetylenes,,http://www.sciencedirect.com/science/article/pii/S0032386110000510,2010,,,25,7.9,110,,,,1.397940009,0.897627091,2.041392685,
Poly(diphenyl acetylene) 3a desilylated,,C(/*)(C1=CC=CC=C1)=C(C2=CC=CC=C2)/*,Substituted Polyacetylenes,,http://www.sciencedirect.com/science/article/pii/S0032386110000510,2010,,,1200,740,4200,,,,3.079181246,2.86923172,3.62324929,
Poly(diphenyl acetylene) 3b desilylated,,C(/*)(C1=CC=CC=C1)=C(C2=CC=C(C=C2)C(C)C)/*,Substituted Polyacetylenes,,http://www.sciencedirect.com/science/article/pii/S0032386110000510,2010,,,300,150,1100,,,,2.477121255,2.176091259,3.041392685,
Poly(diphenyl acetylene) 3c desilylated,,C(/*)(C1=CC=CC=C1)=C(C2=CC=C(C=C2)C(C)(C)C)/*,Substituted Polyacetylenes,,http://www.sciencedirect.com/science/article/pii/S0032386110000510,2010,,,820,360,3000,,,,2.913813852,2.556302501,3.477121255,
Poly(diphenyl acetylene) 3d desilylated,,C(/*)(C1=CC=CC=C1)=C(C2=CC=C(C=C2)CCCC)/*,Substituted Polyacetylenes,,http://www.sciencedirect.com/science/article/pii/S0032386110000510,2010,,,37,11,160,,,,1.568201724,1.041392685,2.204119983,
Poly(diphenyl acetylene) Poly 1,,C(/*)(C1=CC2=C(C=C1)C(CC2(C)C)(C)C)=C(C3=CC=CC=C3)/*,Substituted Polyacetylenes,,http://dx.doi.org/10.1039/B712327B,2007,11200,24800,14400,11600,38700,29100,4.049218023,4.394451681,4.158362492,4.064457989,4.587710965,4.463892989
Poly(diphenyl acetylene) Poly 2,,C(/*)(C1=CC2=C(C=C1)C(C(C2(C)C)(C)C)(C)C)=C(C3=CC=CC=C3)/*,Substituted Polyacetylenes,,http://dx.doi.org/10.1039/B712327B,2007,10100,23200,12500,10000,35100,24200,4.004321374,4.365487985,4.096910013,4,4.545307116,4.383815366
Poly(diphenyl acetylene) Poly 3,,C(/*)(C1=CC2=C(C=C1)C(CCC2(C)C)(C)C)=C(C3=CC=CC=C3)/*,Substituted Polyacetylenes,,http://dx.doi.org/10.1039/B712327B,2007,3500,7700,3900,2700,11400,6600,3.544068044,3.886490725,3.591064607,3.431363764,4.056904851,3.819543936
Poly(diphenyl acetylene) 2b p-F,,C(=C(\C1=CC2=C(C=C1)C(CC2(C)C)(C)C)*)(C3=CC=C(C=C3)F)/*,Substituted Polyacetylenes,,http://dx.doi.org/10.1021/ma801845g,2008,15800,33300,17900,15600,47000,34300,4.198657087,4.522444234,4.252853031,4.193124598,4.672097858,4.53529412
Poly(diphenyl acetylene) 2c m-F,,C(=C(\C1=CC2=C(C=C1)C(CC2(C)C)(C)C)*)(C3=CC=CC(=C3)F)/*,Substituted Polyacetylenes,,http://dx.doi.org/10.1021/ma801845g,2008,12800,27000,14300,12000,35200,27800,4.10720997,4.431363764,4.155336037,4.079181246,4.546542663,4.444044796
"Poly(diphenyl acetylene) 2e p,m-F",,C(=C(\C1=CC2=C(C=C1)C(CC2(C)C)(C)C)*)(C3=CC=C(C(=C3)F)F)/*,Substituted Polyacetylenes,,http://dx.doi.org/10.1021/ma801845g,2008,17800,36800,18700,16600,44200,35000,4.250420002,4.565847819,4.271841607,4.220108088,4.645422269,4.544068044
"Poly(diphenyl acetylene) 2f m,m-F",,C(=C(\C1=CC2=C(C=C1)C(CC2(C)C)(C)C)*)(C3=CC(=CC(=C3)F)F)/*,Substituted Polyacetylenes,,http://dx.doi.org/10.1021/ma801845g,2008,13700,28500,15200,13100,36100,29100,4.136720567,4.45484486,4.181843588,4.117271296,4.557507202,4.463892989
Poly(diphenyl acetylene) 2g p-Cl,,C(=C(\C1=CC2=C(C=C1)C(CC2(C)C)(C)C)*)(C3=CC=C(C=C3)Cl)/*,Substituted Polyacetylenes,,http://dx.doi.org/10.1021/ma801845g,2008,9300,20600,11700,9200,35200,22700,3.968482949,4.31386722,4.068185862,3.963787827,4.546542663,4.356025857
Poly(diphenyl acetylene) 2h p-Br,,C(=C(\C1=CC2=C(C=C1)C(CC2(C)C)(C)C)*)(C3=CC=C(C=C3)Br)/*,Substituted Polyacetylenes,,http://dx.doi.org/10.1021/ma801845g,2008,9200,20700,11400,9200,32800,22400,3.963787827,4.315970345,4.056904851,3.963787827,4.515873844,4.350248018
Poly(diphenyl acetylene) 2i p-Me,,C(=C(\C1=CC2=C(C=C1)C(CC2(C)C)(C)C)*)(C3=CC=C(C=C3)C)/*,Substituted Polyacetylenes,,http://dx.doi.org/10.1021/ma801845g,2008,5000,10800,5700,4100,16900,10100,3.698970004,4.033423755,3.755874856,3.612783857,4.227886705,4.004321374
Poly(diphenyl acetylene) 2k none,,C(=C(\C1=CC2=C(C=C1)C(C(C2(C)C)(C)C)(C)C)*)(C3=CC=CC=C3)/*,Substituted Polyacetylenes,,http://dx.doi.org/10.1021/ma801845g,2008,10500,24100,12900,10400,36400,25200,4.021189299,4.382017043,4.11058971,4.017033339,4.561101384,4.401400541
Poly(diphenyl acetylene) 2m p-SiMe3,,C(=C(\C1=CC2=C(C=C1)CCC2)*)(C3=CC=C(C=C3)[Si](C)(C)C)/*,Substituted Polyacetylenes,,http://dx.doi.org/10.1021/ma801845g,2008,530,1100,450,170,2000,470,2.72427587,3.041392685,2.653212514,2.230448921,3.301029996,2.672097858
Poly(diphenyl acetylene) 2m-D none,,C(=C(\C1=CC2=C(C=C1)CCC2)*)(C3=CC=CC=C3)/*,Substituted Polyacetylenes,,http://dx.doi.org/10.1021/ma801845g,2008,200,360,86,30,390,60,2.301029996,2.556302501,1.934498451,1.477121255,2.591064607,1.77815125
Poly(diarylacetylene) 2a,,C(=C(\C1=CC=C(C=C1)C2=CC=C(C=C2)C(C)(C)C)*)(C3=CC=C(C=C3)[Si](C)(C)C)/*,Substituted Polyacetylenes,,http://www.sciencedirect.com/science/article/pii/S0032386110001345,2010,560,1200,620,250,3300,730,2.748188027,3.079181246,2.792391689,2.397940009,3.51851394,2.86332286
Poly(diarylacetylene) 2b,,C(=C(\C1=CC=C(C=C1)C2=CC=C(C=C2)[Si](C)(C)C)*)(C3=CC=CC=C3)/*,Substituted Polyacetylenes,,http://www.sciencedirect.com/science/article/pii/S0032386110001345,2010,370,810,390,160,2200,450,2.568201724,2.908485019,2.591064607,2.204119983,3.342422681,2.653212514
Poly(diarylacetylene) 2c,,C(=C(\C1=CC=C(C=C1)C[Si](C)(C)C)*)(C2=CC=CC=C2)/*,Substituted Polyacetylenes,,http://www.sciencedirect.com/science/article/pii/S0032386110001345,2010,240,420,140,44,640,120,2.380211242,2.62324929,2.146128036,1.643452676,2.806179974,2.079181246
Poly(diarylacetylene) 2f,,C(=C(\C1=CC2=C(C=C1)C4=C(C23CC3)C=CC=C4)*)(C5=CC=C(C=C5)[Si](C)(C)C)/*,Substituted Polyacetylenes,,http://www.sciencedirect.com/science/article/pii/S0032386110001345,2010,840,1900,1000,540,4100,1500,2.924279286,3.278753601,3,2.73239376,3.612783857,3.176091259
Poly(diarylacetylene) 2g,,C(=C(\C1=CC2=C(C=C1)C3=C(C2(C)C)C=CC=C3)*)(C4=CC=C(C=C4)[Si](C)(C)C)/*,Substituted Polyacetylenes,,http://www.sciencedirect.com/science/article/pii/S0032386110001345,2010,480,980,440,190,1900,500,2.681241237,2.991226076,2.643452676,2.278753601,3.278753601,2.698970004
Poly(diarylacetylene) 2h,,C(=C(\C1=CC2=C(C=C1)C3=C(C2(C)C)C=C(C=C3)[Si](C)(C)C)*)(C4=CC=CC=C4)/*,Substituted Polyacetylenes,,http://www.sciencedirect.com/science/article/pii/S0032386110001345,2010,3400,8500,5400,3400,18000,10000,3.531478917,3.929418926,3.73239376,3.531478917,4.255272505,4
Poly(diarylacetylene) 3a,,C(=C(\C1=CC=C(C=C1)C2=CC=C(C=C2)C(C)(C)C)*)(C3=CC=CC=C3)/*,Substituted Polyacetylenes,,http://www.sciencedirect.com/science/article/pii/S0032386110001345,2010,260,580,260,95,1600,260,2.414973348,2.763427994,2.414973348,1.977723605,3.204119983,2.414973348
Poly(diarylacetylene) 3b,,C(=C(\C1=CC=C(C=C1)C2=CC=CC=C2)*)(C3=CC=CC=C3)/*,Substituted Polyacetylenes,,http://www.sciencedirect.com/science/article/pii/S0032386110001345,2010,200,440,180,65,1300,170,2.301029996,2.643452676,2.255272505,1.812913357,3.113943352,2.230448921
Poly(diarylacetylene) 3f,,C(=C(\C1=CC2=C(C=C1)C4=C(C23CC3)C=CC=C4)*)(C5=CC=CC=C5)/*,Substituted Polyacetylenes,,http://www.sciencedirect.com/science/article/pii/S0032386110001345,2010,1100,2500,1300,870,4900,2300,3.041392685,3.397940009,3.113943352,2.939519253,3.69019608,3.361727836
Poly(diarylacetylene) 3g,,C(=C(\C1=CC2=C(C=C1)C3=C(C2(C)C)C=CC=C3)*)(C4=CC=CC=C4)/*,Substituted Polyacetylenes,,http://www.sciencedirect.com/science/article/pii/S0032386110001345,2010,890,2000,830,420,3400,940,2.949390007,3.301029996,2.919078092,2.62324929,3.531478917,2.973127854
Poly(diarylacetylene) 3h,,C(=C(\C1=CC2=C(C=C1)C3=C(C2(C)C)C=CC=C3)*)(C4=CC=CC=C4)/*,Substituted Polyacetylenes,,http://www.sciencedirect.com/science/article/pii/S0032386110001345,2010,8800,19000,9800,8100,24000,19000,3.944482672,4.278753601,3.991226076,3.908485019,4.380211242,4.278753601
Poly(diarylacetylene) 2i,,C(=C(\C1=CC=C(C=C1)C2=CC=C(C=C2)C(C)(C)C)*)(C3=CC=CC=C3)/*,Substituted Polyacetylenes,,http://www.sciencedirect.com/science/article/pii/S0032386110001345,2010,170,330,130,46,840,120,2.230448921,2.51851394,2.113943352,1.662757832,2.924279286,2.079181246
Poly(diarylacetylene) 2j,,C(=C(\C1=CC2=C(C=C1)C4=C(C23CC3)C=CC=C4)*)(C5=CC=CC=C5)/*,Substituted Polyacetylenes,,http://www.sciencedirect.com/science/article/pii/S0032386110001345,2010,600,1400,660,300,3200,810,2.77815125,3.146128036,2.819543936,2.477121255,3.505149978,2.908485019
Poly(diarylacetylene) 2k,,C(=C(\C1=CC2=C(C=C1)C3=C(C2(C)C)C=CC=C3)*)(C4=CC=CC=C4)/*,Substituted Polyacetylenes,,http://www.sciencedirect.com/science/article/pii/S0032386110001345,2010,3200,8100,4800,3300,17000,9100,3.505149978,3.908485019,3.681241237,3.51851394,4.230448921,3.959041392
Poly(diphenyl acetylene) poly(5)-Ta,,C(=C(/*)C1=CC=C(C=C1)O[Si](C(C)(C)C)(C)C)(C2=CC=C(C=C2)F)/*,Substituted Polyacetylenes,,http://dx.doi.org/10.1002/macp.200600188,2006,140,230,100,46,590,110,2.146128036,2.361727836,2,1.662757832,2.770852012,2.041392685
Poly(diphenyl acetylene) poly(5)-Ru,,C(=C(/*)C1=CC=C(C=C1)O[Si](C(C)(C)C)(C)C)(C2=CC=C(C=C2)F)/*,Substituted Polyacetylenes,,http://dx.doi.org/10.1002/macp.200600188,2006,220,400,180,64,1010,170,2.342422681,2.602059991,2.255272505,1.806179974,3.004321374,2.230448921
Poly(phenyl acetylene) 3a,,C(=C(*)C1=CC(=CC=C1)O[Si](C(C)(C)C)(C)C)*,Substituted Polyacetylenes,,http://dx.doi.org/10.1002/macp.200800029,2008,48,64,17,7.6,58,12,1.681241237,1.806179974,1.230448921,0.880813592,1.763427994,1.079181246
Poly(phenyl acetylene) 2a,,C(/*)(C1=CC=C(C=C1)C(C)(C)C)=C(\C2=CC=CC=C2)*,Substituted Polyacetylenes,,http://dx.doi.org/10.1002/pola.23687,2009,,,2600,1500,9400,,,,3.414973348,3.176091259,3.973127854,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Poly(phenyl acetylene) 2b,,C(/*)(C1=CC=C(C=C1)[Si](C)(C)C)=C(\C2=CC=CC=C2)*,Substituted Polyacetylenes,,http://dx.doi.org/10.1002/pola.23687,2009,,,1200,550,4600,,,,3.079181246,2.740362689,3.662757832,
Poly(phenyl acetylene) 3a (sulfonated),,C(/*)(C1=CC=C(C=C1)C(C)(C)C)=C(\C2=CC=C(C=C2)[S](=O)(=O)O)*,Substituted Polyacetylenes,,http://dx.doi.org/10.1002/pola.23687,2009,,,45,11,340,,,,1.653212514,1.041392685,2.531478917,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Poly(phenyl acetylene) 3b sulfonated,,C(/*)(C1=CC=C(C=C1)[S](=O)(=O)O)=C(\C2=CC=C(C=C2)[S](=O)(=O)O)*,Substituted Polyacetylenes,,http://dx.doi.org/10.1002/pola.23687,2009,,,2.5,0.28,21,,,,0.397940009,-0.552841969,1.322219295,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
S-PEEK membrane with H cation,S-PEEK(H),C1(=C(C(=CC(=C1)C2=CC(=C(C(=C2)C)OC3=C(C=C(C=C3)C(C4=CC=C(C(=C4)[S](=O)(=O)O)*)=O)[S](=O)(O)=O)C)C)O*)C,Uncategorized,,https://doi.org/10.1016/j.memsci.2011.01.056,2011,,,,0.71,21.94,1.93,,,,-0.148741651,1.341236623,0.285557309
S-PEEK membrane with??Na cation,S-PEEK(Na),C1(=C(C(=CC(=C1)C2=CC(=C(C(=C2)C)OC3=C(C=C(C=C3)C(C4=CC=C(C(=C4)[S](=O)(=O)O)*)=O)[S](=O)(O)=O)C)C)O*)C,Uncategorized,,https://doi.org/10.1016/j.memsci.2011.01.056,2011,,,,0.43,14.99,0.88,,,,-0.366531544,1.175801633,-0.055517328
S-PEEK membrane with??Li cation,S-PEEK(Li),C1(=C(C(=CC(=C1)C2=CC(=C(C(=C2)C)OC3=C(C=C(C=C3)C(C4=CC=C(C(=C4)[S](=O)(=O)O)*)=O)[S](=O)(O)=O)C)C)O*)C,Uncategorized,,https://doi.org/10.1016/j.memsci.2011.01.056,2011,,,,0.64,21.95,1.32,,,,-0.193820026,1.341434525,0.120573931
